,City,City Latitude,City Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),City Country,City Datetime
0,albany,42.6001,-73.9662,51.89,55.58,88.0,76.0,2.51,US,1634819071.0
1,buon me thuot,-15.89,-52.2567,84.78,84.78,58.0,0.0,0.0,BR,1634819072.0
2,barra do garcas,-46.6,168.3333,43.41,43.41,81.0,1.0,9.24,NZ,1634819073.0
3,bluff,40.2883,38.4236,56.7,56.7,30.0,0.0,2.53,TR,1634819074.0
4,sebinkarahisar,51.8657,-2.2431,53.53,57.47,61.0,40.0,11.5,GB,1634819076.0
5,kegayli,-0.6,73.0833,81.93,81.93,75.0,100.0,10.65,MV,1634819077.0
6,gloucester,-23.1203,-134.9692,73.62,73.62,77.0,100.0,17.78,PF,1634819077.0
7,hithadhoo,71.2906,-156.7887,28.42,28.42,86.0,90.0,8.05,US,1634819078.0
8,rikitea,37.2001,-94.3502,43.34,45.36,82.0,1.0,5.75,US,1634819080.0
9,barrow,71.6872,128.8694,15.39,15.39,95.0,100.0,10.98,RU,1634819081.0
10,jasper,17.4924,44.1277,88.45,88.45,12.0,54.0,17.54,SA,1634819082.0
11,tiksi,-33.65,115.3333,56.05,56.05,81.0,37.0,7.99,AU,1634819084.0
12,najran,-33.9258,18.4232,67.71,68.11,65.0,0.0,17.27,ZA,1634818986.0
13,busselton,46.5833,0.3333,64.15,64.81,56.0,20.0,19.57,FR,1634819084.0
14,cape town,46.4856,135.8833,21.2,21.2,85.0,12.0,4.74,RU,1634819085.0
15,poitiers,-24.8667,113.6333,69.87,69.87,68.0,0.0,23.02,AU,1634819060.0
16,vostok,28.2333,83.9833,67.14,67.14,96.0,52.0,0.78,NP,1634818825.0
18,pokhara,65.282,-126.8329,30.24,30.24,86.0,20.0,5.75,CA,1634819086.0
19,grootfontein,-15.7167,46.3167,87.82,87.82,62.0,20.0,17.27,MG,1634819087.0
20,norman wells,-54.8,-68.3,44.26,46.02,61.0,75.0,26.46,AR,1634819089.0
21,mahajanga,6.1241,81.1185,82.74,82.74,94.0,40.0,5.75,LK,1634819090.0
22,ushuaia,68.75,161.3,-3.5,-3.5,100.0,99.0,5.53,RU,1634819090.0
23,hambantota,-30.5983,-71.2003,59.31,59.31,64.0,0.0,2.39,CL,1634819091.0
24,cherskiy,28.8184,115.4327,52.48,52.48,93.0,98.0,2.46,CN,1634819093.0
25,ovalle,58.3436,6.2812,46.47,50.59,65.0,15.0,28.21,NO,1634819093.0
26,ganzhou,-42.7826,147.0587,57.65,58.5,59.0,70.0,3.38,AU,1634819094.0
27,hauge,39.7228,64.5517,57.24,57.24,47.0,40.0,9.22,UZ,1634819095.0
28,new norfolk,-9.8,-139.0333,77.61,77.61,77.0,9.0,18.86,PF,1634819096.0
29,kogon,-53.15,-70.9167,44.42,44.71,76.0,40.0,23.02,CL,1634819098.0
30,atuona,40.1629,-8.3327,66.45,68.36,46.0,71.0,8.79,PT,1634819099.0
31,luceville,37.7167,-25.4333,70.21,70.21,58.0,68.0,4.41,PT,1634819100.0
32,punta arenas,19.7297,-155.09,66.49,76.28,73.0,1.0,0.0,US,1634819102.0
33,lata,44.5,0.6667,63.64,64.45,69.0,30.0,11.07,FR,1634819103.0
34,vila franca do campo,13.6017,26.6876,93.36,93.36,13.0,100.0,17.85,SD,1634819104.0
35,hilo,32.6881,128.8419,65.17,65.17,61.0,78.0,15.52,JP,1634819105.0
